Date,User,Channel,Activity_Type,Value,Unit
2026-02-16,User_Beta,Memes,Text,24,messages
2026-02-03,User_Beta,General,Text,45,messages
2026-01-13,User_Delta,Memes,Voice,27,minutes
2026-02-14,User_Alpha,General,Text,35,messages
2026-01-19,User_Beta,Announcements,Text,10,messages
2026-01-15,User_Gamma,Music,Text,47,messages
2026-01-09,User_Delta,Gaming,Text,44,messages
2026-01-24,User_Beta,Announcements,Text,28,messages
2026-01-19,User_Alpha,Gaming,Text,3,messages
2026-02-11,User_Alpha,Announcements,Text,10,messages
2026-01-27,User_Omega,General,Voice,110,minutes
2026-02-04,User_Omega,Music,Text,4,messages
2026-01-10,User_Gamma,Music,Text,37,messages
2026-01-02,User_Omega,Music,Voice,81,minutes
2026-02-22,User_Beta,Gaming,Voice,16,minutes
2026-02-24,User_Gamma,Gaming,Voice,38,minutes
2026-02-23,User_Gamma,Gaming,Voice,26,minutes
2026-02-24,User_Delta,Memes,Text,36,messages
2026-01-28,User_Delta,Announcements,Text,50,messages
2026-02-10,User_Gamma,Memes,Text,32,messages
2026-01-11,User_Delta,Gaming,Text,16,messages
2026-01-23,User_Delta,Music,Text,2,messages
2026-02-20,User_Gamma,Announcements,Voice,15,minutes
2026-01-06,User_Omega,Announcements,Voice,57,minutes
2026-01-15,User_Gamma,General,Text,3,messages
2026-01-18,User_Omega,Announcements,Text,8,messages
2026-02-23,User_Delta,General,Voice,69,minutes
2026-01-07,User_Alpha,Music,Text,32,messages
2026-01-23,User_Omega,Gaming,Voice,65,minutes
2026-01-13,User_Beta,Gaming,Voice,36,minutes
2026-02-18,User_Beta,Memes,Text,1,messages
2026-01-11,User_Beta,Announcements,Text,35,messages
2026-01-22,User_Omega,Gaming,Voice,19,minutes
2026-01-15,User_Beta,Music,Text,33,messages
2026-02-10,User_Alpha,Memes,Text,11,messages
2026-02-24,User_Delta,Music,Text,42,messages
2026-02-07,User_Beta,Gaming,Text,32,messages
2026-02-03,User_Omega,Music,Text,49,messages
2026-01-30,User_Omega,Music,Text,37,messages
2026-02-16,User_Gamma,General,Text,22,messages
2026-02-20,User_Gamma,General,Text,29,messages
2026-01-05,User_Beta,Memes,Text,8,messages
2026-01-25,User_Omega,Announcements,Text,6,messages
2026-02-19,User_Gamma,Memes,Text,24,messages
2026-01-19,User_Alpha,Memes,Text,15,messages
2026-02-07,User_Omega,General,Voice,35,minutes
2026-01-13,User_Beta,Music,Text,9,messages
2026-01-27,User_Gamma,Announcements,Voice,81,minutes
2026-01-09,User_Delta,General,Text,1,messages
2026-02-14,User_Delta,Gaming,Text,41,messages
2026-02-17,User_Alpha,Memes,Text,14,messages
2026-01-21,User_Delta,Announcements,Text,21,messages
2026-01-22,User_Alpha,Gaming,Voice,94,minutes
2026-01-01,User_Alpha,General,Voice,77,minutes
2026-02-13,User_Alpha,Announcements,Text,39,messages
2026-01-06,User_Delta,Music,Voice,84,minutes
2026-01-04,User_Alpha,Gaming,Text,27,messages
2026-02-15,User_Gamma,Announcements,Voice,90,minutes
2026-01-31,User_Delta,Gaming,Voice,66,minutes
2026-02-26,User_Beta,Memes,Text,14,messages
2026-02-08,User_Omega,Music,Text,44,messages
2026-01-11,User_Delta,General,Voice,114,minutes
2026-02-19,User_Beta,Memes,Text,26,messages
2026-01-02,User_Delta,Announcements,Text,48,messages
2026-01-03,User_Omega,Announcements,Text,31,messages
2026-01-29,User_Alpha,Memes,Voice,74,minutes
2026-02-20,User_Omega,Announcements,Text,50,messages
2026-01-10,User_Gamma,Memes,Voice,23,minutes
2026-02-28,User_Alpha,Music,Text,9,messages
2026-01-09,User_Omega,Memes,Text,9,messages
2026-02-03,User_Delta,Gaming,Text,17,messages
2026-02-11,User_Omega,General,Voice,51,minutes
2026-02-23,User_Gamma,Memes,Text,46,messages
2026-02-27,User_Beta,Memes,Text,9,messages
2026-01-14,User_Beta,Memes,Text,26,messages
2026-01-03,User_Delta,Memes,Voice,49,minutes
2026-02-16,User_Alpha,Gaming,Text,44,messages
2026-01-17,User_Beta,General,Text,3,messages
2026-02-19,User_Gamma,Music,Voice,31,minutes
2026-01-31,User_Beta,General,Text,19,messages
2026-01-07,User_Beta,Gaming,Text,29,messages
2026-01-01,User_Omega,Announcements,Voice,77,minutes
2026-01-11,User_Delta,Gaming,Voice,74,minutes
2026-01-09,User_Alpha,Gaming,Text,24,messages
2026-02-22,User_Gamma,Memes,Voice,24,minutes
2026-01-23,User_Beta,Music,Text,27,messages
2026-02-12,User_Delta,Gaming,Text,38,messages
2026-01-02,User_Delta,Music,Text,13,messages
2026-01-11,User_Omega,Announcements,Text,32,messages
2026-01-23,User_Gamma,Music,Text,46,messages
2026-02-23,User_Alpha,Music,Text,36,messages
2026-01-13,User_Delta,Music,Voice,52,minutes
2026-02-23,User_Beta,Gaming,Voice,104,minutes
2026-02-01,User_Beta,Music,Text,48,messages
2026-02-01,User_Beta,General,Voice,103,minutes
2026-02-22,User_Delta,Memes,Text,18,messages
2026-01-26,User_Beta,General,Voice,105,minutes
2026-01-12,User_Gamma,Gaming,Text,22,messages
2026-01-14,User_Alpha,Music,Voice,49,minutes
2026-02-17,User_Beta,General,Text,46,messages
2026-01-19,User_Delta,General,Text,42,messages
2026-02-27,User_Gamma,Announcements,Text,10,messages
2026-01-22,User_Beta,Music,Voice,87,minutes
2026-01-10,User_Gamma,Gaming,Text,27,messages
2026-03-01,User_Alpha,Music,Text,20,messages
2026-01-01,User_Beta,Memes,Voice,57,minutes
2026-01-08,User_Gamma,Music,Voice,86,minutes
2026-02-03,User_Alpha,Announcements,Text,26,messages
2026-02-26,User_Delta,Gaming,Text,17,messages
2026-03-01,User_Gamma,Memes,Voice,32,minutes
2026-01-06,User_Delta,General,Text,10,messages
2026-02-09,User_Alpha,Music,Voice,100,minutes
2026-02-22,User_Omega,Gaming,Text,4,messages
2026-01-08,User_Beta,Memes,Text,29,messages
2026-01-27,User_Delta,Music,Voice,108,minutes
2026-01-06,User_Delta,Memes,Text,18,messages
2026-01-07,User_Delta,General,Text,29,messages
2026-02-14,User_Omega,General,Text,37,messages
2026-01-07,User_Beta,Announcements,Text,28,messages
2026-02-02,User_Gamma,Gaming,Voice,24,minutes
2026-01-11,User_Delta,Music,Text,34,messages
2026-02-21,User_Gamma,Memes,Text,50,messages
2026-02-03,User_Alpha,Memes,Text,9,messages
2026-02-01,User_Gamma,Music,Text,11,messages
2026-01-16,User_Omega,Music,Text,46,messages
2026-02-10,User_Beta,General,Text,50,messages
2026-01-02,User_Beta,Memes,Text,23,messages
2026-01-20,User_Delta,Music,Text,8,messages
2026-02-06,User_Beta,General,Text,25,messages
2026-02-24,User_Alpha,Music,Text,50,messages
2026-02-18,User_Delta,Music,Text,38,messages
2026-02-10,User_Gamma,Music,Text,41,messages
2026-02-06,User_Gamma,General,Text,37,messages
2026-03-01,User_Beta,General,Text,25,messages
2026-01-29,User_Beta,General,Voice,83,minutes
2026-01-27,User_Gamma,Memes,Voice,64,minutes
2026-02-19,User_Omega,Announcements,Text,38,messages
2026-01-03,User_Gamma,Announcements,Text,16,messages
2026-01-27,User_Gamma,Memes,Voice,58,minutes
2026-02-07,User_Omega,Music,Text,34,messages
2026-01-11,User_Gamma,Announcements,Text,35,messages
2026-01-25,User_Gamma,Memes,Voice,119,minutes
2026-02-08,User_Beta,General,Text,13,messages
2026-01-21,User_Gamma,General,Voice,33,minutes
2026-02-11,User_Beta,Announcements,Text,32,messages
2026-01-23,User_Beta,Announcements,Text,25,messages
2026-01-21,User_Delta,Memes,Voice,120,minutes
2026-02-03,User_Alpha,Announcements,Voice,111,minutes
2026-02-03,User_Beta,Gaming,Text,32,messages
2026-01-30,User_Beta,Announcements,Text,25,messages
2026-01-27,User_Delta,Memes,Text,48,messages
2026-01-21,User_Alpha,Music,Voice,28,minutes
2026-01-03,User_Beta,Music,Text,8,messages
2026-01-06,User_Omega,Gaming,Text,1,messages
2026-02-01,User_Delta,Music,Text,28,messages
2026-01-05,User_Gamma,Memes,Voice,53,minutes
2026-02-05,User_Delta,General,Text,7,messages
2026-02-12,User_Beta,Gaming,Text,2,messages
2026-01-10,User_Omega,Music,Voice,99,minutes
2026-01-14,User_Omega,Memes,Voice,39,minutes
2026-02-17,User_Alpha,Memes,Text,38,messages
2026-01-12,User_Gamma,General,Voice,51,minutes
2026-01-23,User_Alpha,Gaming,Text,27,messages
2026-02-28,User_Delta,Announcements,Voice,49,minutes
2026-01-09,User_Omega,Music,Voice,68,minutes
2026-03-01,User_Alpha,Gaming,Text,39,messages
2026-02-01,User_Alpha,Memes,Voice,14,minutes
2026-03-02,User_Gamma,Gaming,Text,3,messages
2026-01-30,User_Alpha,Music,Text,30,messages
2026-02-15,User_Delta,Music,Voice,15,minutes
2026-02-01,User_Gamma,Music,Text,26,messages
2026-02-26,User_Delta,Memes,Voice,11,minutes
2026-03-01,User_Omega,Gaming,Text,19,messages
2026-01-29,User_Delta,General,Text,16,messages
2026-01-17,User_Delta,Memes,Voice,51,minutes
2026-02-24,User_Omega,Music,Text,35,messages
2026-01-08,User_Gamma,General,Text,17,messages
2026-02-20,User_Gamma,Gaming,Text,28,messages
2026-02-12,User_Omega,Announcements,Text,13,messages
2026-02-10,User_Gamma,Music,Text,39,messages
2026-01-30,User_Delta,Announcements,Text,15,messages
2026-02-20,User_Beta,General,Text,46,messages
2026-01-16,User_Delta,Announcements,Text,4,messages
2026-02-21,User_Delta,Gaming,Text,39,messages
2026-02-12,User_Alpha,General,Text,1,messages
2026-02-14,User_Beta,Announcements,Text,48,messages
2026-01-31,User_Gamma,Memes,Text,13,messages
2026-01-06,User_Omega,General,Text,29,messages
2026-02-22,User_Gamma,Memes,Text,31,messages
2026-01-18,User_Gamma,Memes,Voice,116,minutes
2026-02-19,User_Omega,General,Voice,91,minutes
2026-01-22,User_Delta,General,Text,5,messages
2026-01-04,User_Beta,General,Text,35,messages
2026-01-28,User_Alpha,Memes,Voice,30,minutes
2026-01-07,User_Omega,Memes,Voice,99,minutes
2026-01-27,User_Alpha,Memes,Text,37,messages
2026-01-19,User_Omega,Music,Text,13,messages
2026-02-10,User_Gamma,Memes,Voice,83,minutes
2026-02-09,User_Gamma,General,Text,34,messages
2026-01-22,User_Beta,Announcements,Text,4,messages
2026-01-12,User_Gamma,General,Text,13,messages
2026-02-11,User_Alpha,General,Text,18,messages
2026-01-10,User_Alpha,Music,Voice,103,minutes
2026-01-26,User_Beta,Music,Text,6,messages
2026-01-11,User_Omega,General,Text,23,messages
2026-02-02,User_Alpha,Music,Voice,88,minutes
2026-01-14,User_Omega,Gaming,Text,29,messages
2026-02-03,User_Alpha,Memes,Text,7,messages
2026-01-30,User_Delta,General,Text,32,messages
2026-02-28,User_Gamma,Music,Text,35,messages
2026-02-26,User_Alpha,General,Text,43,messages
2026-02-04,User_Gamma,General,Text,34,messages
2026-01-23,User_Beta,Memes,Text,3,messages
2026-02-14,User_Omega,Gaming,Text,10,messages
2026-01-11,User_Alpha,Announcements,Text,18,messages
2026-02-07,User_Gamma,Music,Text,37,messages
2026-02-24,User_Delta,Memes,Text,19,messages
2026-01-23,User_Omega,Gaming,Text,41,messages
2026-02-19,User_Gamma,Announcements,Voice,41,minutes
2026-02-23,User_Gamma,Announcements,Text,18,messages
2026-02-20,User_Gamma,Announcements,Voice,113,minutes
2026-02-09,User_Beta,General,Text,22,messages
2026-01-04,User_Alpha,Memes,Text,45,messages
2026-02-16,User_Omega,General,Voice,83,minutes
2026-02-18,User_Gamma,Music,Text,45,messages
2026-02-11,User_Alpha,Announcements,Text,31,messages
2026-01-02,User_Alpha,Music,Voice,60,minutes
2026-01-05,User_Delta,Music,Voice,51,minutes
2026-02-10,User_Omega,General,Text,8,messages
2026-02-15,User_Beta,Music,Text,42,messages
2026-02-17,User_Alpha,Gaming,Text,20,messages
2026-01-01,User_Omega,Gaming,Voice,93,minutes
2026-03-01,User_Delta,Gaming,Voice,57,minutes
2026-03-01,User_Omega,Gaming,Text,6,messages
2026-01-31,User_Delta,Memes,Text,35,messages
2026-01-18,User_Omega,Announcements,Text,32,messages
2026-01-31,User_Omega,Announcements,Text,45,messages
2026-02-19,User_Gamma,Announcements,Text,27,messages
2026-01-21,User_Omega,General,Voice,63,minutes
2026-01-05,User_Alpha,Memes,Text,20,messages
2026-01-03,User_Delta,Memes,Text,17,messages
2026-02-21,User_Omega,Announcements,Text,41,messages
2026-01-08,User_Delta,Music,Voice,79,minutes
2026-02-25,User_Beta,General,Voice,104,minutes
2026-01-13,User_Delta,Announcements,Voice,107,minutes
2026-01-19,User_Alpha,Music,Text,43,messages
2026-01-13,User_Beta,Memes,Text,44,messages
2026-01-04,User_Alpha,Memes,Text,23,messages
2026-01-27,User_Omega,Gaming,Text,37,messages
2026-02-22,User_Omega,Memes,Voice,32,minutes
2026-01-20,User_Beta,Memes,Voice,94,minutes
2026-01-05,User_Omega,Announcements,Voice,83,minutes
2026-01-26,User_Gamma,Memes,Text,27,messages
2026-01-12,User_Omega,General,Text,49,messages
2026-02-13,User_Beta,General,Text,39,messages
2026-02-17,User_Delta,Memes,Voice,75,minutes
2026-02-05,User_Beta,Memes,Text,40,messages
2026-01-21,User_Gamma,Gaming,Text,28,messages
2026-02-09,User_Delta,Memes,Text,38,messages
2026-01-03,User_Alpha,Gaming,Text,4,messages
2026-01-17,User_Omega,Gaming,Text,34,messages
2026-01-01,User_Gamma,Memes,Text,3,messages
2026-02-19,User_Omega,Announcements,Text,30,messages
2026-01-18,User_Beta,Music,Voice,37,minutes
2026-01-17,User_Beta,General,Text,46,messages
2026-02-10,User_Omega,General,Text,46,messages
2026-02-24,User_Omega,Announcements,Text,34,messages
2026-01-01,User_Omega,Music,Text,20,messages
2026-02-20,User_Delta,Memes,Text,36,messages
2026-01-19,User_Gamma,Memes,Voice,11,minutes
2026-01-12,User_Alpha,General,Text,33,messages
2026-03-02,User_Alpha,Music,Voice,27,minutes
2026-02-11,User_Delta,Memes,Text,6,messages
2026-02-18,User_Alpha,Memes,Text,45,messages
2026-01-25,User_Beta,Gaming,Voice,83,minutes
2026-01-25,User_Omega,Gaming,Text,16,messages
2026-02-15,User_Omega,Memes,Voice,69,minutes
2026-01-27,User_Alpha,General,Text,45,messages
2026-02-15,User_Alpha,General,Text,3,messages
2026-02-01,User_Gamma,Music,Text,4,messages
2026-01-22,User_Delta,Music,Text,22,messages
2026-02-04,User_Beta,General,Text,37,messages
2026-01-25,User_Alpha,Gaming,Text,36,messages
2026-01-13,User_Delta,Music,Text,20,messages
2026-02-08,User_Alpha,General,Text,44,messages
2026-02-10,User_Delta,Music,Text,23,messages
2026-02-23,User_Alpha,Music,Text,42,messages
2026-01-03,User_Omega,Announcements,Voice,92,minutes
2026-01-01,User_Omega,Music,Text,2,messages
2026-01-21,User_Beta,Music,Text,27,messages
2026-02-08,User_Gamma,General,Voice,31,minutes
2026-02-14,User_Alpha,Announcements,Text,37,messages
2026-01-21,User_Delta,General,Text,33,messages
2026-01-26,User_Gamma,Gaming,Text,26,messages
2026-01-20,User_Gamma,Gaming,Text,7,messages
2026-01-27,User_Alpha,Music,Text,16,messages
2026-02-12,User_Alpha,Announcements,Text,31,messages
2026-02-05,User_Beta,Announcements,Text,50,messages
2026-01-24,User_Alpha,Music,Text,5,messages
2026-02-01,User_Gamma,Memes,Text,15,messages
2026-01-09,User_Beta,Announcements,Text,30,messages
2026-03-02,User_Beta,Music,Text,11,messages
2026-02-15,User_Delta,Announcements,Text,39,messages
2026-02-11,User_Alpha,Announcements,Voice,28,minutes
2026-01-19,User_Gamma,Memes,Voice,82,minutes
2026-01-27,User_Beta,General,Voice,64,minutes
2026-01-26,User_Alpha,Music,Text,35,messages
2026-01-24,User_Gamma,Memes,Text,10,messages
2026-01-04,User_Delta,Memes,Text,12,messages
2026-02-05,User_Beta,General,Text,20,messages
2026-01-17,User_Delta,Memes,Text,49,messages
2026-02-11,User_Beta,Music,Text,37,messages
2026-01-26,User_Delta,Gaming,Voice,15,minutes
2026-02-25,User_Gamma,General,Voice,63,minutes
2026-02-02,User_Gamma,Gaming,Voice,96,minutes
2026-01-11,User_Delta,Gaming,Voice,40,minutes
2026-01-24,User_Gamma,Music,Text,20,messages
2026-02-26,User_Alpha,Memes,Text,26,messages
2026-01-08,User_Gamma,Announcements,Text,5,messages
2026-01-26,User_Alpha,Announcements,Text,11,messages
2026-01-21,User_Omega,Announcements,Text,1,messages
2026-01-30,User_Omega,Memes,Text,18,messages
2026-01-31,User_Omega,General,Text,36,messages
2026-01-06,User_Alpha,Announcements,Text,26,messages
2026-02-02,User_Beta,Memes,Text,16,messages
2026-02-01,User_Gamma,General,Text,19,messages
2026-01-10,User_Beta,Gaming,Text,4,messages
2026-02-06,User_Gamma,Gaming,Text,46,messages
2026-01-22,User_Beta,General,Voice,40,minutes
2026-01-08,User_Delta,Memes,Voice,77,minutes
2026-01-03,User_Alpha,General,Voice,21,minutes
2026-01-11,User_Alpha,Music,Text,47,messages
2026-02-19,User_Beta,Gaming,Text,3,messages
2026-01-02,User_Alpha,Gaming,Text,39,messages
2026-01-27,User_Omega,Announcements,Voice,54,minutes
2026-02-24,User_Delta,Memes,Voice,120,minutes
2026-02-20,User_Gamma,Music,Text,34,messages
2026-01-17,User_Omega,Music,Text,34,messages
2026-01-16,User_Omega,Gaming,Text,9,messages
2026-01-20,User_Gamma,General,Text,11,messages
2026-01-14,User_Beta,Announcements,Text,23,messages
2026-02-15,User_Omega,Announcements,Text,43,messages
2026-03-02,User_Delta,Music,Voice,58,minutes
2026-01-15,User_Gamma,Music,Voice,58,minutes
2026-02-14,User_Beta,Announcements,Text,45,messages
2026-02-23,User_Beta,Announcements,Text,32,messages
2026-02-02,User_Beta,Announcements,Text,42,messages
2026-02-13,User_Omega,Music,Text,20,messages
2026-01-31,User_Omega,Music,Voice,31,minutes
2026-01-18,User_Omega,Memes,Voice,31,minutes
2026-02-01,User_Beta,Gaming,Text,27,messages
2026-02-15,User_Omega,General,Text,5,messages
2026-02-14,User_Omega,Announcements,Text,41,messages
2026-01-06,User_Delta,Music,Text,5,messages
2026-01-21,User_Beta,Music,Text,38,messages
2026-02-11,User_Beta,General,Voice,108,minutes
2026-03-02,User_Gamma,Music,Text,26,messages
2026-02-16,User_Gamma,Gaming,Text,43,messages
2026-01-13,User_Delta,Music,Text,8,messages
2026-01-19,User_Omega,Music,Text,9,messages
2026-01-24,User_Gamma,Announcements,Text,21,messages
2026-01-10,User_Alpha,Gaming,Text,18,messages
2026-01-23,User_Delta,General,Text,38,messages
2026-01-26,User_Omega,General,Voice,45,minutes
2026-03-01,User_Beta,Gaming,Voice,46,minutes
2026-02-06,User_Omega,General,Text,27,messages
2026-01-29,User_Gamma,Memes,Text,41,messages
2026-02-26,User_Omega,General,Text,11,messages
2026-02-16,User_Alpha,Memes,Text,6,messages
2026-03-01,User_Gamma,Music,Voice,25,minutes
2026-01-26,User_Gamma,Music,Voice,70,minutes
2026-02-21,User_Alpha,Announcements,Text,21,messages
2026-01-14,User_Gamma,General,Text,46,messages
2026-02-28,User_Beta,Gaming,Text,23,messages
2026-02-15,User_Beta,Gaming,Text,47,messages
2026-01-23,User_Omega,Music,Text,18,messages
2026-02-24,User_Beta,Music,Voice,119,minutes
2026-02-23,User_Alpha,Music,Text,4,messages
2026-02-06,User_Omega,Announcements,Text,28,messages
2026-02-08,User_Alpha,Gaming,Text,1,messages
2026-02-16,User_Omega,Music,Text,30,messages
2026-01-03,User_Alpha,General,Voice,91,minutes
2026-03-01,User_Delta,Gaming,Voice,69,minutes
2026-02-01,User_Delta,Announcements,Text,32,messages
2026-02-26,User_Beta,Memes,Text,41,messages
2026-02-24,User_Delta,General,Voice,62,minutes
2026-02-16,User_Alpha,Music,Voice,103,minutes
2026-01-17,User_Alpha,General,Voice,98,minutes
2026-01-22,User_Delta,Announcements,Text,8,messages
2026-01-22,User_Alpha,Memes,Text,39,messages
2026-01-02,User_Omega,Memes,Text,14,messages
2026-02-13,User_Delta,Gaming,Voice,91,minutes
2026-02-23,User_Gamma,Music,Text,41,messages
2026-02-12,User_Beta,Gaming,Text,5,messages
2026-02-14,User_Alpha,Gaming,Text,11,messages
2026-02-01,User_Omega,Gaming,Text,6,messages
2026-01-27,User_Beta,Gaming,Text,2,messages
2026-02-16,User_Delta,Memes,Text,48,messages
2026-01-06,User_Omega,Gaming,Text,46,messages
2026-02-15,User_Gamma,General,Text,21,messages
2026-02-03,User_Gamma,Announcements,Text,18,messages
2026-01-14,User_Delta,Announcements,Text,32,messages
2026-01-05,User_Beta,Gaming,Text,30,messages
2026-01-01,User_Delta,Memes,Text,47,messages
2026-02-13,User_Alpha,General,Voice,21,minutes
2026-01-25,User_Delta,General,Text,23,messages
2026-02-09,User_Gamma,Gaming,Text,22,messages
2026-01-22,User_Gamma,Music,Text,22,messages
2026-01-01,User_Alpha,Memes,Voice,97,minutes
2026-02-13,User_Alpha,General,Voice,102,minutes
2026-02-07,User_Beta,Gaming,Text,43,messages
2026-02-10,User_Alpha,Music,Text,40,messages
2026-01-19,User_Delta,General,Text,23,messages
2026-01-08,User_Beta,General,Voice,23,minutes
2026-01-01,User_Alpha,Announcements,Text,45,messages
2026-01-22,User_Omega,Gaming,Text,50,messages
2026-01-16,User_Alpha,Announcements,Text,5,messages
2026-01-27,User_Gamma,General,Voice,29,minutes
2026-02-20,User_Alpha,Gaming,Voice,72,minutes
2026-01-04,User_Alpha,Announcements,Text,50,messages
2026-01-18,User_Delta,Memes,Text,41,messages
2026-02-23,User_Beta,Announcements,Text,3,messages
2026-02-09,User_Gamma,Announcements,Voice,104,minutes
2026-01-28,User_Beta,Announcements,Text,25,messages
2026-03-01,User_Delta,Memes,Voice,61,minutes
2026-01-06,User_Omega,General,Text,44,messages
2026-02-18,User_Omega,Memes,Voice,109,minutes
2026-02-16,User_Gamma,Music,Voice,79,minutes
2026-02-04,User_Alpha,Gaming,Text,43,messages
2026-02-19,User_Omega,General,Voice,79,minutes
2026-02-20,User_Delta,Music,Voice,78,minutes
2026-02-07,User_Omega,Music,Voice,35,minutes
2026-01-03,User_Gamma,General,Voice,26,minutes
2026-02-17,User_Beta,Memes,Text,36,messages
2026-02-01,User_Delta,Gaming,Text,50,messages
2026-02-27,User_Gamma,Memes,Voice,80,minutes
2026-03-02,User_Gamma,Announcements,Text,47,messages
2026-01-09,User_Delta,Gaming,Text,14,messages
2026-01-04,User_Gamma,Gaming,Text,5,messages
2026-01-15,User_Beta,Music,Voice,35,minutes
2026-01-06,User_Beta,Memes,Text,48,messages
2026-01-05,User_Beta,General,Voice,13,minutes
2026-01-04,User_Omega,Announcements,Text,23,messages
2026-01-29,User_Omega,Memes,Text,43,messages
2026-02-04,User_Omega,Memes,Text,12,messages
2026-01-24,User_Beta,Gaming,Text,5,messages
2026-01-05,User_Omega,Announcements,Text,2,messages
2026-01-20,User_Omega,Memes,Text,19,messages
2026-01-08,User_Omega,Music,Text,33,messages
2026-01-08,User_Alpha,Announcements,Text,7,messages
2026-01-18,User_Beta,General,Voice,62,minutes
2026-01-10,User_Delta,General,Voice,33,minutes
2026-01-25,User_Delta,General,Text,36,messages
2026-01-21,User_Gamma,General,Voice,22,minutes
2026-01-04,User_Delta,General,Text,33,messages
2026-01-09,User_Alpha,Memes,Text,4,messages
2026-01-01,User_Omega,Memes,Text,49,messages
2026-01-28,User_Alpha,Gaming,Text,3,messages
2026-02-04,User_Omega,Memes,Text,37,messages
2026-02-19,User_Omega,General,Text,35,messages
2026-01-14,User_Beta,General,Voice,44,minutes
2026-01-29,User_Delta,Gaming,Voice,113,minutes
2026-01-08,User_Alpha,General,Text,29,messages
2026-01-20,User_Alpha,Music,Voice,62,minutes
2026-01-20,User_Gamma,Music,Text,22,messages
2026-02-15,User_Gamma,Announcements,Text,25,messages
2026-02-10,User_Gamma,Announcements,Text,39,messages
2026-01-14,User_Gamma,Gaming,Text,18,messages
2026-03-02,User_Delta,Memes,Voice,43,minutes
2026-01-10,User_Delta,Gaming,Voice,35,minutes
2026-01-08,User_Beta,Music,Text,25,messages
2026-01-13,User_Gamma,Gaming,Text,44,messages
2026-01-12,User_Delta,Announcements,Text,25,messages
2026-01-18,User_Alpha,Announcements,Text,47,messages
2026-02-27,User_Beta,Gaming,Text,16,messages
2026-01-07,User_Omega,Announcements,Text,17,messages
2026-01-31,User_Gamma,Announcements,Voice,81,minutes
2026-01-28,User_Delta,General,Voice,18,minutes
2026-01-07,User_Beta,Announcements,Text,13,messages
2026-01-01,User_Gamma,Announcements,Text,33,messages
2026-01-02,User_Alpha,Memes,Text,24,messages
2026-03-02,User_Delta,General,Voice,95,minutes
2026-01-21,User_Beta,Memes,Text,44,messages
2026-01-04,User_Beta,General,Text,30,messages
2026-01-29,User_Beta,Music,Voice,112,minutes
2026-02-25,User_Delta,Music,Text,15,messages
2026-01-06,User_Beta,Memes,Text,35,messages
2026-01-04,User_Omega,Gaming,Text,44,messages
2026-02-13,User_Beta,Music,Voice,67,minutes
2026-02-17,User_Gamma,Music,Voice,120,minutes
2026-01-09,User_Delta,Gaming,Text,27,messages
2026-01-05,User_Gamma,General,Text,33,messages
2026-02-21,User_Gamma,Gaming,Text,40,messages
2026-01-26,User_Beta,Music,Voice,21,minutes
2026-02-26,User_Beta,Memes,Text,36,messages
2026-02-08,User_Gamma,Announcements,Voice,89,minutes
2026-01-22,User_Alpha,Memes,Text,41,messages
2026-02-02,User_Omega,Memes,Text,49,messages
2026-01-29,User_Gamma,Music,Text,15,messages
2026-02-14,User_Gamma,Gaming,Voice,91,minutes
